name,model,brand,price,mileage,url
2018 Mercedes-Benz CLA,CLA,Mercedes-Benz,18590,60056,https://www.carvana.com/vehicle/3438056
2024 Chevrolet Malibu,Malibu,Chevrolet,21590,20185,https://www.carvana.com/vehicle/3405704
2022 Hyundai Elantra,Elantra,Hyundai,20990,29144,https://www.carvana.com/vehicle/3390380
2019 Jeep Cherokee,Cherokee,Jeep,16590,67551,https://www.carvana.com/vehicle/3490213
2016 BMW i3,i3,BMW,12790,52160,https://www.carvana.com/vehicle/3515027
2012 Lexus ES,ES,Lexus,18590,38158,https://www.carvana.com/vehicle/3504742
2024 Cadillac XT4,XT4,Cadillac,35990,34590,https://www.carvana.com/vehicle/3565411
2022 Chevrolet Trax,Trax,Chevrolet,16990,54909,https://www.carvana.com/vehicle/3525231
2021 Kia Soul,Soul,Kia,17590,25532,https://www.carvana.com/vehicle/3548195
2022 Hyundai Elantra,Elantra,Hyundai,20590,28943,https://www.carvana.com/vehicle/3570644
2016 BMW i3,i3,BMW,13990,37917,https://www.carvana.com/vehicle/3481464
2019 Mercedes-Benz A-Class,A-Class,Mercedes-Benz,24990,30455,https://www.carvana.com/vehicle/3561297
2016 Hyundai Elantra,Elantra,Hyundai,14790,32786,https://www.carvana.com/vehicle/3492612
2022 Hyundai Accent,Accent,Hyundai,17590,34702,https://www.carvana.com/vehicle/3436460
2023 Chevrolet Trailblazer,Trailblazer,Chevrolet,21990,22842,https://www.carvana.com/vehicle/3565426
2021 Chevrolet Camaro,Camaro,Chevrolet,24990,37895,https://www.carvana.com/vehicle/3536223
2018 Jaguar XE,XE,Jaguar,18990,57238,https://www.carvana.com/vehicle/3558841
2021 Hyundai Sonata,Sonata,Hyundai,24590,7926,https://www.carvana.com/vehicle/3586644
2019 Mercedes-Benz GLA,GLA,Mercedes-Benz,23990,26654,https://www.carvana.com/vehicle/3592763
2018 BMW 2 Series,2 Series,BMW,19990,57999,https://www.carvana.com/vehicle/3562823
2016 Chevrolet Colorado Extended Cab,Colorado Extended Cab,Chevrolet,20590,41463,https://www.carvana.com/vehicle/3582820
2024 Nissan Altima,Altima,Nissan,19590,25354,https://www.carvana.com/vehicle/3462051
2015 MINI Hardtop 2 Door,Hardtop 2 Door,MINI,14990,22305,https://www.carvana.com/vehicle/3532930
2023 Jeep Wrangler 4xe,Wrangler 4xe,Jeep,30990,35303,https://www.carvana.com/vehicle/3540425
2015 BMW 5 Series,5 Series,BMW,16990,44835,https://www.carvana.com/vehicle/3530139
2020 Mercedes-Benz GLA,GLA,Mercedes-Benz,26590,19350,https://www.carvana.com/vehicle/3564967
2022 MAZDA MX-30,MX-30,MAZDA,18990,24959,https://www.carvana.com/vehicle/3480726
2022 Jeep Renegade,Renegade,Jeep,22990,11344,https://www.carvana.com/vehicle/3551165
2023 Nissan Kicks,Kicks,Nissan,19590,10428,https://www.carvana.com/vehicle/3536411
2024 Kia Forte,Forte,Kia,19990,20676,https://www.carvana.com/vehicle/3542827
2020 Ford EcoSport,EcoSport,Ford,16990,43422,https://www.carvana.com/vehicle/3586489
2017 MINI Hardtop 4 Door,Hardtop 4 Door,MINI,15590,52625,https://www.carvana.com/vehicle/3576144
2021 Mercedes-Benz GLA,GLA,Mercedes-Benz,26990,37932,https://www.carvana.com/vehicle/3482889
2016 Volkswagen e-Golf,e-Golf,Volkswagen,12990,39019,https://www.carvana.com/vehicle/3479533
2018 Land Rover Range Rover Evoque,Range Rover Evoque,Land Rover,24990,33217,https://www.carvana.com/vehicle/3575786
2021 Ford Mustang,Mustang,Ford,23990,32980,https://www.carvana.com/vehicle/3376033
2020 Buick Encore,Encore,Buick,15990,60277,https://www.carvana.com/vehicle/3393283
2024 Nissan Sentra,Sentra,Nissan,21590,3958,https://www.carvana.com/vehicle/3581693
2024 Honda HR-V,HR-V,Honda,26590,3380,https://www.carvana.com/vehicle/3496973
2016 BMW 5 Series,5 Series,BMW,16590,62339,https://www.carvana.com/vehicle/3379201
2017 GMC Terrain,Terrain,GMC,20590,32829,https://www.carvana.com/vehicle/3511669
2016 Volkswagen e-Golf,e-Golf,Volkswagen,12590,43086,https://www.carvana.com/vehicle/3510344
2018 Chevrolet Sonic,Sonic,Chevrolet,15990,30879,https://www.carvana.com/vehicle/3565245
2014 BMW 3 Series,3 Series,BMW,14790,65260,https://www.carvana.com/vehicle/3460398
2020 Jeep Cherokee,Cherokee,Jeep,18990,51246,https://www.carvana.com/vehicle/3577658
2022 Nissan Kicks,Kicks,Nissan,18990,14971,https://www.carvana.com/vehicle/3473408
2022 Nissan Kicks,Kicks,Nissan,18990,14846,https://www.carvana.com/vehicle/3461636
2018 Mercedes-Benz C-Class,C-Class,Mercedes-Benz,22990,36004,https://www.carvana.com/vehicle/3500051
2016 BMW i3,i3,BMW,13790,54516,https://www.carvana.com/vehicle/3067743
2021 Ford Mustang,Mustang,Ford,27990,15906,https://www.carvana.com/vehicle/3298715
2013 Chevrolet Camaro,Camaro,Chevrolet,15990,92606,https://www.carvana.com/vehicle/3563354
2019 Ford EcoSport,EcoSport,Ford,16990,38860,https://www.carvana.com/vehicle/3560582
2018 Jeep Renegade,Renegade,Jeep,19590,21956,https://www.carvana.com/vehicle/3566534
2018 MINI Hardtop 2 Door,Hardtop 2 Door,MINI,16990,38267,https://www.carvana.com/vehicle/3542306
2021 Jeep Renegade,Renegade,Jeep,20590,22119,https://www.carvana.com/vehicle/3578942
2023 Hyundai Kona,Kona,Hyundai,22590,7854,https://www.carvana.com/vehicle/3568262
2014 Cadillac SRX,SRX,Cadillac,15590,58159,https://www.carvana.com/vehicle/3501512
2022 Nissan Sentra,Sentra,Nissan,20990,23001,https://www.carvana.com/vehicle/3379196
2018 Mercedes-Benz C-Class,C-Class,Mercedes-Benz,27990,29560,https://www.carvana.com/vehicle/3554142
2024 Kia Forte,Forte,Kia,19590,18399,https://www.carvana.com/vehicle/3460274
2017 Ford Escape,Escape,Ford,16590,29247,https://www.carvana.com/vehicle/3502689
2016 Honda CR-V,CR-V,Honda,20590,39744,https://www.carvana.com/vehicle/3468596
2017 Mercedes-Benz B-Class,B-Class,Mercedes-Benz,14790,36869,https://www.carvana.com/vehicle/3459965
2015 Dodge Charger,Charger,Dodge,17590,92179,https://www.carvana.com/vehicle/3578878
2018 MAZDA MAZDA6,MAZDA6,MAZDA,20990,17480,https://www.carvana.com/vehicle/3588739
2017 Cadillac CTS,CTS,Cadillac,26590,21062,https://www.carvana.com/vehicle/3578308
2018 Dodge Charger,Charger,Dodge,23590,36304,https://www.carvana.com/vehicle/3542503
2018 Toyota Corolla,Corolla,Toyota,18990,27122,https://www.carvana.com/vehicle/3555884
2020 Kia Sportage,Sportage,Kia,19590,26203,https://www.carvana.com/vehicle/3384614
2020 INFINITI QX60,QX60,INFINITI,26590,30794,https://www.carvana.com/vehicle/3468768
2022 MAZDA MX-30,MX-30,MAZDA,19590,18363,https://www.carvana.com/vehicle/3454808
2020 Ford Escape,Escape,Ford,19990,24562,https://www.carvana.com/vehicle/3540929
2024 Chevrolet Malibu,Malibu,Chevrolet,19590,16747,https://www.carvana.com/vehicle/3575037
2020 Honda Fit,Fit,Honda,19590,37303,https://www.carvana.com/vehicle/3560102
2021 Ford Escape,Escape,Ford,18990,35753,https://www.carvana.com/vehicle/3532484
2019 Ford Fusion,Fusion,Ford,16990,34680,https://www.carvana.com/vehicle/3508308
2012 Dodge Charger,Charger,Dodge,13790,76934,https://www.carvana.com/vehicle/3570807
2017 Kia Soul,Soul,Kia,14990,17014,https://www.carvana.com/vehicle/3305525
2019 Kia Soul,Soul,Kia,18990,11271,https://www.carvana.com/vehicle/3583694
2018 Chevrolet Cruze,Cruze,Chevrolet,15590,35980,https://www.carvana.com/vehicle/3508038
2021 Land Rover Range Rover Evoque,Range Rover Evoque,Land Rover,29990,31821,https://www.carvana.com/vehicle/3553030
2016 Land Rover Discovery Sport,Discovery Sport,Land Rover,17990,42422,https://www.carvana.com/vehicle/3454533
2023 Hyundai Elantra,Elantra,Hyundai,21990,31458,https://www.carvana.com/vehicle/3466899
2019 Chevrolet Spark,Spark,Chevrolet,13990,37952,https://www.carvana.com/vehicle/3438462
2022 Jeep Wrangler Unlimited,Wrangler Unlimited,Jeep,29990,19057,https://www.carvana.com/vehicle/3480761
2024 Nissan Altima,Altima,Nissan,19590,29565,https://www.carvana.com/vehicle/3453291
2018 Jeep Renegade,Renegade,Jeep,19990,23515,https://www.carvana.com/vehicle/3545233
2023 Nissan Kicks,Kicks,Nissan,20990,6465,https://www.carvana.com/vehicle/3562921
2017 BMW i3,i3,BMW,15990,37462,https://www.carvana.com/vehicle/3530083
2017 Audi TT,TT,Audi,28590,33573,https://www.carvana.com/vehicle/3568528
2023 Nissan Kicks,Kicks,Nissan,19590,14460,https://www.carvana.com/vehicle/3588616
2022 Dodge Charger,Charger,Dodge,22990,40404,https://www.carvana.com/vehicle/3507552
2017 Buick Encore,Encore,Buick,14990,51766,https://www.carvana.com/vehicle/3484168
2016 BMW i3,i3,BMW,13790,60516,https://www.carvana.com/vehicle/3546729
